type;target;actual;timestamp
Steps;5000.0;15.939;2018-10-11 00:00:00 +0000
Steps;5000.0;10.139;2018-10-10 00:00:00 +0000
Steps;5000.0;17.787;2018-10-09 00:00:00 +0000
Steps;5000.0;11.142;2018-10-08 00:00:00 +0000
Steps;5000.0;12.624;2018-10-07 00:00:00 +0000
Steps;5000.0;9.579;2018-09-28 00:00:00 +0000
Steps;5000.0;9.392;2018-09-27 00:00:00 +0000
Steps;5000.0;11.347;2018-09-26 00:00:00 +0000
Steps;5000.0;8.930;2018-09-25 00:00:00 +0000
Steps;5000.0;9.176;2018-09-24 00:00:00 +0000
Steps;5000.0;8.771;2018-09-23 00:00:00 +0000
Steps;5000.0;11.275;2018-09-15 00:00:00 +0000
Steps;5000.0;5.772;2018-09-13 00:00:00 +0000
Steps;5000.0;11.380;2018-09-09 00:00:00 +0000
Steps;5000.0;12.429;2018-09-08 00:00:00 +0000
Steps;5000.0;5.075;2018-09-05 00:00:00 +0000
Steps;5000.0;5.972;2018-08-30 00:00:00 +0000
Steps;5000.0;6.980;2018-08-26 00:00:00 +0000
Steps;5000.0;8.162;2018-08-25 00:00:00 +0000
Steps;5000.0;5.954;2018-08-19 00:00:00 +0000
Steps;5000.0;9.455;2018-08-04 00:00:00 +0000
Steps;5000.0;6.698;2018-07-29 00:00:00 +0000
Steps;5000.0;5.284;2018-07-24 00:00:00 +0000
Steps;5000.0;10.944;2018-07-19 00:00:00 +0000
Steps;5000.0;6.751;2018-07-16 00:00:00 +0000
Steps;5000.0;10.259;2018-07-11 00:00:00 +0000
Steps;5000.0;8.479;2018-07-10 00:00:00 +0000
Steps;5000.0;13.101;2018-07-02 00:00:00 +0000
Steps;5000.0;7.307;2018-06-29 00:00:00 +0000
Steps;5000.0;6.359;2018-06-28 00:00:00 +0000
Steps;5000.0;11.452;2018-06-27 00:00:00 +0000
Steps;5000.0;19.633;2018-06-25 00:00:00 +0000
Steps;5000.0;6.914;2018-06-21 00:00:00 +0000
Steps;5000.0;8.308;2018-06-11 00:00:00 +0000
Steps;5000.0;8.598;2018-06-08 00:00:00 +0000
Steps;5000.0;23.457;2018-06-01 00:00:00 +0000
Steps;5000.0;8.146;2018-05-31 00:00:00 +0000
Steps;5000.0;9.952;2018-05-30 00:00:00 +0000
Steps;5000.0;9.665;2018-05-28 00:00:00 +0000
Steps;5000.0;14.895;2018-05-25 00:00:00 +0000
Steps;5000.0;10.001;2018-05-24 00:00:00 +0000
Steps;5000.0;12.931;2018-05-18 00:00:00 +0000
Steps;5000.0;12.760;2018-05-16 00:00:00 +0000
Steps;5000.0;11.602;2018-05-15 00:00:00 +0000
